"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VCMASFVL","journalArticle","2019","Oke, Olufolajimi; Huppmann, Daniel; Marshall, Max; Poulton, Ricky; Siddiqui, Sauleh","Multimodal Transportation Flows in Energy Networks with an Application to Crude Oil Markets","Networks and Spatial Economics","","1572-9427","10.1007/s11067-018-9387-0","https://doi.org/10.1007/s11067-018-9387-0","Network models of energy markets have been beneficial for analyses and decision-making to tackle challenges related to the production, distribution and consumption of energy in its various forms. Despite the growing awareness of environmental and safety impacts of fuel transfer, such as emissions, spills and other harmful effects, existing energy models for various types of networks are yet to fully capture modal distinctions which are relevant to providing pathways to limiting these impacts. To address this deficit in detailed multimodal analyses, we have built on recent work to develop a partial-equilibrium model that incorporates the representation of multimodal fuel transfer within energy networks. In a novel application to the North American crude oil market, we also demonstrate that our model is a useful tool for exploring avenues for reducing the risks of light and heavy crude oil transportation across this region. The results we obtain indicate that a combined strategy of rail loading restrictions, pipeline deployments and a discontinuation of the oil export ban is most effective in reducing the transportation of crude oil by rail and thereby mitigating the associated risks.","2019-06-01","2020-04-28 07:25:10","2020-04-28 07:25:10","2020-04-28 07:25:10","521-555","","2","19","","Netw Spat Econ","","","","","","","","en","All rights reserved","","","","Springer Link","","","","/home/jbo/Zotero/storage/5KQUXZBV/Oke et al. - 2019 - Multimodal Transportation Flows in Energy Networks.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57FT2PEI","journalArticle","2019","Nahmias-Biran, Bat-hen; Oke, Jimi B.; Kumar, Nishant; Basak, Kakali; Araldo, Andrea; Seshadri, Ravi; Akkinepally, Arun; Lima Azevedo, Carlos; Ben-Akiva, Moshe","From Traditional to Automated Mobility on Demand: A Comprehensive Framework for Modeling On-Demand Services in SimMobility","Transportation Research Record","","0361-1981","10.1177/0361198119853553","https://doi.org/10.1177/0361198119853553","Mobility on demand (MoD) systems have recently emerged as a promising paradigm for sustainable personal urban mobility in cities. In the context of multi-agent simulation technology, the state-of-the-art lacks a platform that captures the dynamics between decentralized driver decision-making and the centralized coordinated decision-making. This work aims to fill this gap by introducing a comprehensive framework that models various facets of MoD, namely heterogeneous MoD driver decision-making and coordinated fleet management within SimMobility, an agent- and activity-based demand model integrated with a dynamic multi-modal network assignment model. To facilitate such a study, we propose an event-based modeling framework. Behavioral models were estimated to characterize the decision-making of drivers using a GPS dataset from a major MoD fleet operator in Singapore. The proposed framework was designed to accommodate behaviors of multiple on-demand services such as traditional MoD, Lyft-like services, and automated MoD (AMoD) services which interact with traffic simulators and a multi-modal transportation network. We demonstrate the benefits of the proposed framework through a large-scale case study in Singapore comparing the fully decentralized traditional MoD with the future AMoD services in a realistic simulation setting. We found that AMoD results in a more efficient service even with increased demand. Parking strategies and fleet sizes will also have an effect on user satisfaction and network performance.","2019-12-01","2020-04-28 07:24:41","2020-04-28 07:24:41","2020-04-28 07:24:41","15-29","","12","2673","","Transportation Research Record","From Traditional to Automated Mobility on Demand","","","","","","","en","All rights reserved","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDRIUVA3","journalArticle","2018","Oke, Olufolajimi; Bhalla, Kavi; Love, David C.; Siddiqui, Sauleh","Spatial associations in global household bicycle ownership","Annals of Operations Research","","1572-9338","10.1007/s10479-016-2358-2","https://doi.org/10.1007/s10479-016-2358-2","The interest in bicycling and its determining factors is growing within the public health, transportation and geography communities. Ownership is one factor affecting bicycle usage, but work is still ongoing to not only quantify its effects but also to understand patterns in its growth and influence. In recent work, we mined and discovered patterns in global bicycle ownership that showed the existence of four characteristic country groups and their trends. Building on these results, we show in this paper that the ownership dataset can be modeled as a network. First, we observe mixing tendencies that indicate neighboring countries are more likely to be in the same ownership group and we map the likelihoods for cross-group mixings. Further, we define the strength of connections between countries by their proximity in ownership levels. We then determine the weighted degree assortative coefficient for the network and for each group relative to the network. We find that while the weighted degree assortativity of the ownership network is statistically insignificant, the highest and lowest ownership groups exhibit disassortative behavior with respect to the entire network. The second and third ranked groups, however, are strongly assortative. Our model serves as a step toward further work in studying the relationship between proximity and bicycle ownership among nations and unearthing possible patterns of influence. Considering further developments, this work can inform policy-relevant recommendations toward regional planning. This effort also contributes to expanding research in assortativity analyses, especially in weighted networks.","2018-04-01","2020-04-28 07:15:09","2020-04-28 07:15:09","2020-04-28 07:15:09","529-549","","1","263","","Ann Oper Res","","","","","","","","en","All rights reserved","","","","Springer Link","","","","/home/jbo/Zotero/storage/6CF5TL4G/Oke et al. - 2018 - Spatial associations in global household bicycle o.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7AF294QC","journalArticle","2015","Oke, Olufolajimi; Bhalla, Kavi; Love, David C.; Siddiqui, Sauleh","Tracking global bicycle ownership patterns","Journal of Transport & Health","","2214-1405","10.1016/j.jth.2015.08.006","http://www.sciencedirect.com/science/article/pii/S2214140515006787","Over the past four decades, bicycle ownership has been documented in various countries but not globally analyzed. This paper presents an effort to fill this gap by tracking household bicycle possession. First, we gather survey data from 150 countries and extract percentage household bicycle ownership values. Performing cluster analysis, we determined four groups with the weighted mean percentage ownership ranging from 20% to 81%. Generally, bicycle ownership was highest in Northern Europe and lowest in West, Central and North Africa, and Central Asia. We determine worldwide household ownership patterns and demonstrate a basis for understanding the global impact of cycling as a sustainable transit mode. Furthermore, we find a lower-bound estimate of the number of bicycles available to the world׳s households. We establish that at the global level 42% of households own at least one bicycle, and thus there are at least 580 million bicycles in private household ownership. Our data are publicly available and amenable for future analyses.","2015-12-01","2020-04-28 07:13:35","2020-04-28 07:13:35","2020-04-28 07:13:35","490-501","","4","2","","Journal of Transport & Health","","","","","","","","en","All rights reserved","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/JPD99RMA/S2214140515006787.html","","","Bicycle ownership; Data mining; Sustainable transportation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6ZXSKBC8","journalArticle","2010","Chudzicki, Christopher; Oke, Olufolajimi; Wootters, William K.","Entanglement and Composite Bosons","Physical Review Letters","","","10.1103/PhysRevLett.104.070402","https://link.aps.org/doi/10.1103/PhysRevLett.104.070402","We build upon work by C. K. Law [Phys. Rev. A 71, 034306 (2005)] to show in general that the entanglement between two fermions largely determines the extent to which the pair behaves like an elementary boson. Specifically, we derive upper and lower bounds on a quantity χN+1/χN that governs the bosonic character of a pair of fermions when N such pairs approximately share the same wave function. Our bounds depend on the purity of the single-particle density matrix, an indicator of entanglement, and demonstrate that if the entanglement is sufficiently strong, the quantity χN+1/χN approaches its ideal bosonic value.","2010-02-18","2020-04-28 07:13:25","2020-04-28 07:13:25","2020-04-28 07:13:25","070402","","7","104","","Phys. Rev. Lett.","","","","","","","","","All rights reserved","","","","APS","","Publisher: American Physical Society","","/home/jbo/Zotero/storage/SAQU63JW/PhysRevLett.104.html; /home/jbo/Zotero/storage/JQ9CYIZ8/Chudzicki et al. - 2010 - Entanglement and Composite Bosons.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7BY9B2WF","journalArticle","2020","Martinez, Diego A.; Cai, Jiarui; Oke, Jimi B.; Jarrell, Andrew S.; Feijoo, Felipe; Appelbaum, Jeffrey; Klein, Eili; Barnes, Sean; Levin, Scott R.","Where is my infusion pump? Harnessing network dynamics for improved hospital equipment fleet management","Journal of the American Medical Informatics Association","","","10.1093/jamia/ocaa033","https://academic.oup.com/jamia/article/27/6/884/5825396","AbstractObjective.  Timely availability of intravenous infusion pumps is critical for high-quality care delivery. Pumps are shared among hospital units, often w","2020-06-01","2020-07-11 19:14:48","2020-07-11 19:29:06","2020-07-11 19:14:48","884-892","","6","27","","J Am Med Inform Assoc","Where is my infusion pump?","","","","","","","en","All rights reserved","","","","academic.oup.com","","Publisher: Oxford Academic","","/home/jbo/Zotero/storage/SDB27IIJ/5825396.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJTN5FQQ","journalArticle","2022","Han, Zhuo; Gonzales, Eric; Christofa, Eleni; Oke, Jimi","Modeling System-Wide Urban Rail Transit Energy Consumption: A Case Study of Boston","Transportation Research Record","","0361-1981","10.1177/03611981221096442","https://doi.org/10.1177/03611981221096442","Rapid transit systems are critical components of urban public transportation networks in their impact, not only on personal mobility but also on the energy and environmental costs associated with network operations. To facilitate effective planning for current and future needs, a framework is required that provides important consumption metrics and also explains the various contributors to energy consumption, along with their interactions. To address this gap, we estimated models that utilized operational and ridership data for the Massachusetts Bay Transportation Authority?s rapid transit system, as well as ambient temperature, to accurately predict system-wide electricity consumption. The models were trained with data from 2019 and tested with data from 2020. The estimated multiple linear regression (MLR) and random forest (RF) models explained 93% and 95% of the variance in the data set, respectively. The MLR model provided predictions with a root mean squared error (RMSE) of 2.7?MWh and mean absolute percentage error (MAPE) of 4.68%, while the RF model resulted in an RMSE of 2.94?MWh and MAPE of 5.01%. We also investigated the impacts of COVID-19 on the transit system by exploring the effects on ridership, energy consumption, cost, and train movement metrics before and during the pandemic. We find that the models are robust and perform well, even with the significant disruptions associated with the COVID-19 pandemic.","2022-12-01","2023-01-19 01:48:10","2023-01-19 01:48:10","2023-01-19 01:48:10","627-640","","12","2676","","","Modeling System-Wide Urban Rail Transit Energy Consumption","","","","","","","en","All rights reserved","","","","SAGE Journals","","Publisher: SAGE Publications Inc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KFHD4FUX","journalArticle","2021","Nahmias-Biran, Bat-hen; Oke, Jimi B.; Kumar, Nishant","Who benefits from AVs? Equity implications of automated vehicles policies in full-scale prototype cities","Transportation Research Part A: Policy and Practice","","0965-8564","10.1016/j.tra.2021.09.013","https://www.sciencedirect.com/science/article/pii/S0965856421002469","While researchers have stressed the potential of automated vehicle (AV) technology in improving mobility and accessibility for a range of people, only a few attempts have been made to examine the impact of this new technology on different segments of the population in a realistic setting using high-fidelity simulation. To fill this gap, we analyze the equity implications of Automated Mobility-on-Demand (AMoD) in three full-scale prototype cities using SimMobility, a state-of-the-art activity- and agent-based framework. The prototype cities were developed based on two auto-dependent typologies, representing cities largely in the US/Canada, and a dense transit-oriented typology. We perform equity analyses at the individual and income-group level, in order to reveal the winners and losers from the introduction of AVs under two scenarios: (1) AMoD Intro, in which a low-cost AMoD service competes with mass transit, and (2) AMoD Transit Integration, where AMoD complements mass transit, via access/egress connectivity service to rapid transit stations. We evaluate the following outcomes: induced demand by age and income groups, mode share by income levels, individual kilometers traveled by different modes and income levels, and the spatial distribution of change in fare and accessibility. Outcomes are considered as equity-oriented if they reduce accessibility gaps, particularly among disadvantaged populations. Our results indicate that in large population-dense and transit-oriented cities, the most equity-oriented outcomes can be achieved, due to extensive mass transit usage, which depresses car usage and restricts induced demand for AMoD. Such cities provide greater opportunities for low-income groups. Specifically, the AMoD Transit Integration scenario results in the best outcomes and implies a new market share, as disadvantaged groups, such as children and low-income individuals, were able to travel more using the integrated AMoD-transit service. Nevertheless, in car-dependent cities, where accessibility gaps are much larger, AMoD Intro scenario performs better compared to AMoD Transit Integration, as it serves the less accessible population and significantly improves their opportunities.","2021-12-01","2023-01-19 01:46:45","2023-01-19 01:46:45","2023-01-19 01:46:45","92-107","","","154","","Transportation Research Part A: Policy and Practice","Who benefits from AVs?","","","","","","","en","All rights reserved","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/YL5I7TKZ/S0965856421002469.html","","","Simulation; Accessibility; Equity; Automated Mobility-on-Demand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FHFE6KU2","journalArticle","2022","Goodarzi, Saeed; Kashani, Hamed F.; Oke, Jimi; Ho, Carlton L.","Data-driven methods to predict track degradation: A case study","Construction and Building Materials","","0950-0618","10.1016/j.conbuildmat.2022.128166","https://www.sciencedirect.com/science/article/pii/S095006182201830X","Predicting track degradation is extremely important due to its beneficial effects on increasing track safety and scheduling preventive maintenance. Logistic regression and Gradient Boosting Machine (GBM) were employed in this paper for predicting Yellow-tag Defect in the Next Inspection (YDNI), which is an indicator of maintenance requirement in the track. The geometry data of this paper were collected from passenger tracks with a length of 155 miles from 2011 to 2020. In addition to geometry data, Ground Penetrating Radar (GPR) data were used as additional explanatory variables to improve the performance of models. As there are a limited number of YDNI observations, Synthetic Minority Oversampling Technique (SMOTE) is employed to resolve the issue of imbalance dataset. Results indicate that the GBM outperforms logistic regression and can successfully predict YDNI with a very high sensitivity of 0.94. Parametric analysis indicated the direct correlation between the Ballast Fouling Index (BFI) and the probability of defect occurrence. Finally, the model can be integrated into a decision-making framework which generates predictions based on a given probability threshold for classification. Thus, the railway companies can select a specific threshold according to their maintenance budget and desired level of track safety for scheduling preventive maintenance interventions.","2022-08-15","2023-01-19 01:45:00","2023-01-19 01:45:00","2023-01-19 01:45:00","128166","","","344","","Construction and Building Materials","Data-driven methods to predict track degradation","","","","","","","en","All rights reserved","","","","ScienceDirect","","","","/home/jbo/Zotero/storage/ZNHXLCVM/S095006182201830X.html","","","Geometry data; Gradient Boosting Machine (GBM); Ground Penetrating Radar (GPR); Large data; Logistic regression; Preventive maintenance; SMOTE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGVKIYC2","journalArticle","2023","Chung, Hichul; Kumpel, Emily; Oke, Jimi","Drinking water accessibility typologies in low- and middle-income countries","Environmental Research Letters","","1748-9326","10.1088/1748-9326/acb662","https://dx.doi.org/10.1088/1748-9326/acb662","We present a data-driven typology framework for understanding patterns in drinking water accessibility across low- and middle-income countries. Further, we obtain novel typology-specific insights regarding the relationships between possible explanatory variables and typology outcomes. First, we conducted exploratory factor analysis to obtain a smaller set of interpretable factors from the initial set of 17 drinking water accessibility indicators from 73 countries. The resulting seven factors summarize the key drivers for water accessibility, and also serve as a vehicle for framing discussions on country outcomes. We clustered the countries based on their seven-dimensional water accessibility factor scores, referring to the resulting three clusters as ‘typologies,’ namely, Decentralized, Centralized and Hybrid. The typologies serve as a vehicle for analyzing water accessibility among countries with similar patterns, in contrast with geographically-based approaches. Finally, we fitted a decision tree classifier to analyze relationships between a country’s typology membership and socioeconomic, geographic and transportation explanatory variables. We found that private car ownership, population density and per-capita gross domestic product are most relevant in predicting a country’s drinking water accessibility typology.","2023-02","2023-06-13 16:31:56","2023-06-13 16:31:56","2023-06-13 16:31:56","025009","","2","18","","Environ. Res. Lett.","","","","","","","","en","","","","","Institute of Physics","","Publisher: IOP Publishing","","/home/jbo/Zotero/storage/6TVZGJLI/Chung et al. - 2023 - Drinking water accessibility typologies in low- an.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
